經號 , 冊數 , 卷數 , 經名 , 作譯者
X0301 , 15 , 3 , 楞嚴經精解評林 , 明 焦竑纂
X0302 , 15 , 10 , 楞嚴經略疏 , 明 元賢述
X0303 , 15 , 10 , 楞嚴經貫攝 , 清 劉道開纂述
X0304 , 15 , 1 , 楞嚴經觀心定解科 , 清 靈耀述
X0305 , 15 , 1 , 楞嚴經觀心定解大綱 , 清 靈耀述
X0306 , 15 , 10 , 楞嚴經觀心定解 , 清 靈耀述
X0307 , 16 , 1 , 楞嚴經指掌疏懸示 , 清 通理述
X0308 , 16 , 10 , 楞嚴經指掌疏 , 清 通理述
X0309 , 16 , 1 , 楞嚴經指掌疏事義 , 清 通理述
X0310 , 16 , 1 , 楞嚴經勢至圓通章科解 , 明 正相解
X0311 , 16 , 2 , 楞嚴經勢至圓通章疏鈔 , 清 續法集
X0312 , 16 , 1 , 楞嚴經勢至圓通章解 , 清 行策撰
X0313 , 16 , 1 , 楞嚴經序指味疏 , 清 諦閑述
X0314 , 16 , 1 , 楞嚴經寶鏡疏科文 , 清 溥畹撰
X0315 , 16 , 1 , 楞嚴經寶鏡疏懸談 , 清 溥畹述
X0316 , 16 , 10 , 楞嚴經寶鏡疏 , 清 溥畹述
X0317 , 16 , 10 , 楞嚴經正見 , 清 濟時述
X0318 , 16 , 10 , 楞嚴經宗通 , 明 曾鳳儀宗通
X0321 , 17 , 3 , 楞伽經註 , 唐 智嚴註
X0322 , 17 , 2 , 楞伽經疏 , 
X0323 , 17 , 6 , 楞伽經通義 , 宋 善月述
X0324 , 17 , 4 , 楞伽經集註 , 宋 正受集記
X0325 , 17 , 4 , 楞伽經纂 , 宋 楊彥國纂
X0326 , 17 , 8 , 觀楞伽經記 , 明 德清筆記
X0327 , 17 , 1 , 楞伽補遺 , 明 德清撰
X0328 , 17 , 1 , 楞伽經玄義 , 明 智旭撰述
X0329 , 17 , 4 , 楞伽經義疏 , 明 智旭疏義
X0330 , 17 , 8 , 楞伽經宗通 , 明 曾鳳儀宗通
X0331 , 17 , 8 , 楞伽經合轍 , 明 通潤述
X0332 , 18 , 8 , 楞伽經參訂疏 , 明 廣莫參訂
X0333 , 18 , 1 , 楞伽經精解評林 , 明 焦竑纂
X0334 , 18 , 8 , 楞伽經心印 , 清 圅昰疏
X0338 , 18 , 28 , 維摩經文疏 , 隋 智顗撰
X0340 , 18 , 3 , 維摩經疏記 , 唐 湛然述
X0343 , 19 , 5 , 維摩經略疏 , 胡 吉藏撰
X0345 , 19 , 2 , 維摩經疏記鈔 , 唐 道暹私記
X0347 , 19 , 14 , 維摩經評註 , 明 楊起元評註
X0348 , 19 , 12 , 維摩經無我疏 , 明 傳燈著
X0349 , 19 , 1 , 維摩經疏科 , 明
X0351 , 19 , 2 , 勝鬘經義記 , 隋 慧遠撰
X0352 , 19 , 2 , 勝鬘經述記 , 唐 大乘基說　義令記
X0353 , 19 , 6 , 勝鬘經疏義私鈔 , 日本 聖德太子疏　唐 明空私鈔
X0355 , 20 , 1 , 金光明經玄義科 , 明 明得排定
X0356 , 20 , 2 , 金光明經玄義拾遺記會本 , 隋 智顗說　唐 灌頂錄　宋 知禮述　明 明得會
X0357 , 20 , 1 , 金光明經文句科 , 明 明得排定
X0358 , 20 , 8 , 金光明經文句文句記會本 , 隋 智顗說　唐 灌頂錄　宋 知禮述　明 明得會
X0359 , 20 , 3 , 金光明經玄義順正記 , 宋 從義撰
X0360 , 20 , 7 , 金光明經文句新記 , 宋 從義撰
X0361 , 20 , 2 , 金光明經照解 , 宋 宗曉述
X0362 , 20 , 4 , 金光明經科註 , 明 受汰集
X0364 , 20 , 4 , 思益梵天所問經簡註 , 明 圓澄註
X0365 , 20 , 1 , 大乘本生心地觀經淺註懸示 , 清 來舟述
X0366 , 20 , 1 , 大乘本生心地觀經淺註科文 , 
X0367 , 20-21 , 8 , 大乘本生心地觀經淺註 , 清 來舟集
X0368 , 21 , 3 , 大乘密嚴經疏 , 唐 法藏撰
X0369 , 21 , 9 , 解深密經疏 , 唐 圓測撰
X0370 , 21 , 1 , 占察善惡業報經玄義 , 明 智旭撰
X0371 , 21 , 2 , 占察善惡業報經義疏 , 明 智旭撰
X0372 , 21 , 2 , 盂蘭盆經疏新記 , 唐 宗密疏　宋 元照記
X0373 , 21 , 2 , 盂蘭盆經疏會古通今記 , 宋 普觀述
X0374 , 21 , 1 , 盂蘭盆經疏孝衡鈔科 , 宋 遇榮集定
X0375 , 21 , 2 , 盂蘭盆經疏孝衡鈔 , 宋 遇榮鈔
X0376 , 21 , 1 , 盂蘭盆經疏鈔餘義 , 宋 日新錄
X0377 , 21 , 1 , 盂蘭盆經新疏 , 明 智旭疏
X0378 , 21 , 1 , 盂蘭盆經疏折中疏 , 清 靈耀撰
X0379 , 21 , 1 , 盂蘭盆經略疏 , 清 元奇書
X0381 , 21 , 1 , 藥師經直解 , 清 靈耀撰
X0382 , 21 , 1 , 地藏本願經科文 , 清 岳玄排
X0383 , 21 , 1 , 地藏本願經綸貫 , 清 靈椉撰
X0384 , 21 , 6 , 地藏本願經科註 , 清 靈椉輯
X0388 , 21 , 1 , 彌勒上生經述贊 , 
X0389 , 21 , 1 , 彌勒下生經述贊 , 
X0393 , 21 , 1 , 彌勒上生經瑞應鈔科 , 宋 守千集
X0394 , 21 , 2 , 彌勒上生經瑞應鈔 , 宋 守千集
X0397 , 22 , 1 , 無量壽經記 , 唐 玄一集
X0400 , 22 , 3 , 無量壽經起信論 , 清 彭際清述
X0401 , 22 , 1 , 摩訶阿彌陀經衷論 , 清 王耕心衷論
X0405 , 22 , 1 , 釋觀無量壽佛經記 , 唐 法聰撰
X0406 , 22 , 1 , 觀無量壽經疏妙宗鈔科 , 宋 知禮排定　明 真覺重排
X0407 , 22 , 5 , 觀無量壽佛經疏妙宗鈔 , 隋 智顗說　宋 知禮述　日本 實觀分會
X0408 , 22 , 1 , 觀無量壽佛經融心解 , 宋 知禮撰
X0410 , 22 , 1 , 觀無量壽經扶新論 , 宋 戒度述
X0411 , 22 , 3 , 觀無量壽經義疏正觀記 , 宋 戒度述
X0412 , 22 , 1 , 觀無量壽佛經圖頌 , 明 傳燈述
X0413 , 22 , 2 , 觀無量壽經直指疏 , 清 續法集
X0414 , 22 , 1 , 觀無量壽佛經約論 , 清 彭際清述
X0420 , 22 , 3 , 阿彌陀經義疏聞持記 , 宋 元照述　戒度記
X0421 , 22 , 1 , 阿彌陀經句解 , 元 性澄句解
X0422 , 22 , 1 , 阿彌陀經略解 , 明 大佑述
X0423 , 22 , 2 , 阿彌陀經略解圓中鈔 , 明 大佑述　傳燈鈔
X0424 , 22 , 4 , 阿彌陀經疏鈔 , 明 袾宏述
X0425 , 22 , 1 , 阿彌陀經疏鈔事義 , 明 袾宏述
X0426 , 22 , 1 , 阿彌陀經疏鈔問辯 , 明 袾宏述
X0427 , 22 , 4 , 阿彌陀經疏鈔演義 , 明 古德法師演義　慈航智願定本
X0428 , 22 , 1 , 阿彌陀經疏鈔擷 , 明 袾宏疏鈔　清 徐槐廷擷
X0429 , 22 , 1 , 阿彌陀經已決 , 明 大慧釋
X0430 , 22 , 3 , 阿彌陀經要解便蒙鈔 , 明 智旭要解　清 達默造鈔　達林參訂
X0431 , 22 , 1 , 阿彌陀經略註 , 清 續法錄註
X0432 , 22 , 1 , 阿彌陀經註 , 清 鄭澄德．鄭澄源註
X0433 , 22 , 1 , 阿彌陀經約論 , 清 彭際清述
X0434 , 22 , 1 , 阿彌陀經直解正行 , 清 了根纂註
X0435 , 22 , 1 , 阿彌陀經摘要易解 , 清 真嵩述
X0438 , 23 , 14 , 大日經義釋 , 唐 一行述記
X0439 , 23 , 10 , 大日經義釋演密鈔 , 遼 覺苑撰
X0445 , 23 , 1 , 佛頂尊勝陀羅尼經釋 , 清 續法釋
X0446 , 23 , 3 , 七俱胝佛母所說準提陀羅尼經會釋 , 清 弘贊會釋
X0447 , 23 , 2 , 觀自在菩薩如意心陀羅尼經略疏 , 清 續法述
X0448 , 24 , 6 , 大般若經關法 , 宋 大隱．永隆排定
X0449 , 24 , 10 , 大般若經綱要 , 清 葛䵻提綱
X0451 , 24 , 9 , 大品經義疏 , 胡 吉藏撰
X0454 , 24 , 1 , 金剛經註 , 東晉 僧肇注
X0456 , 24 , 3 , 金剛經註疏 , 唐 慧淨註
X0459 , 24 , 2 , 金剛經解義 , 唐 慧能解義
X0460 , 24 , 1 , 金剛經口訣 , 唐 慧能說
X0461 , 24 , 3 , 金剛經註 , 宋 道川頌並著語
X0462 , 24 , 2 , 金剛經會解 , 宋 善月述
X0463 , 24 , 1 , 金剛經采微科 , 宋 曇應排
X0464 , 24 , 2 , 金剛經采微 , 宋 曇應述
X0465 , 24 , 1 , 金剛經采微餘釋 , 宋 曇應述
X0466 , 24 , 1 , 金剛疏科釋 , 元 徐行善科
X0467 , 24 , 9 , 銷釋金剛經科儀會要註解 , 宋 宗鏡述　明 覺連重集
X0468 , 24 , 4 , 金剛經註解 , 明 洪蓮編
X0469 , 24 , 2 , 金剛經補註 , 明 韓巖集解　程衷懋補註
X0470 , 24 , 2 , 金剛經註解鐵鋑錎 , 明 屠根註
X0471 , 25 , 7 , 金剛經宗通 , 明 曾鳳儀宗通
X0472 , 25 , 2 , 金剛經偈釋 , 明 曾鳳儀釋
X0473 , 25 , 1 , 金剛經釋 , 明 真可撰
X0474 , 25 , 1 , 金剛經決疑 , 明 德清撰
X0475 , 25 , 2 , 金剛經鎞 , 明 廣伸述
X0476 , 25 , 1 , 金剛經統論 , 明 林兆恩撰
X0477 , 25 , 1 , 金剛經正眼 , 明 大韻筆記
X0478 , 25 , 1 , 金剛經筆記 , 明 如觀註
X0479 , 25 , 1 , 金剛經破空論 , 明 智旭造論
X0480 , 25 , 1 , 金剛經觀心釋 , 明 智旭述
X0481 , 25 , 1 , 金剛經略談 , 明 觀衡撰
X0482 , 25 , 1 , 金剛經略疏 , 明 元賢述
X0483 , 25 , 1 , 金剛經音釋直解 , 明 圓杲解註
X0484 , 25 , 1 , 金剛經大意 , 清 王起隆述
X0485 , 25 , 1 , 金剛經如是解 , 清 無是道人註解
X0486 , 25 , 1 , 金剛經會解了義 , 清 徐昌治纂
X0487 , 25 , 2 , 金剛新眼疏經偈合釋 , 清 通理述
X0488 , 25 , 1 , 金剛經郢說 , 清 徐發詮次
X0489 , 25 , 1 , 金剛經註正訛 , 清 仲之屏彙纂
X0490 , 25 , 1 , 金剛經淺解 , 清 翁春．王錫琯解釋
X0491 , 25 , 10 , 金剛經疏記科會 , 唐 宗密疏　宋 子璿記　清 大璸科會
X0492 , 25 , 1 , 金剛經疏記會編 , 清 行策會編
X0493 , 25 , 2 , 金剛經部旨 , 清 靈耀撰
X0494 , 25 , 1 , 金剛經註釋 , 清 溥仁乩書　子真乩訂
X0495 , 25 , 1 , 金剛經演古 , 清 寂燄述
X0496 , 25 , 1 , 金剛經直說 , 清 迹刪鷲述
X0497 , 25 , 1 , 金剛經石注 , 清 石成金撰集
X0498 , 25 , 2 , 金剛經正解 , 清 龔穊綵註
X0499 , 25 , 8 , 金剛經法眼懸判疏鈔 , 清 性起述
X0500 , 25 , 2 , 金剛經法眼註疏 , 清 性起述
X0501 , 25 , 2 , 金剛經如是經義 , 清 行敏述
X0502 , 25 , 2 , 金剛經註講 , 清 行敏述
X0503 , 25 , 1 , 金剛經注解 , 清 孚佑帝君註解
X0504 , 25 , 2 , 金剛經彙纂 , 清 孫念劬纂
X0505 , 25 , 2 , 金剛經心印疏 , 清 溥畹述
X0506 , 25 , 2 , 金剛經注 , 清 俞樾註
X0507 , 25 , 1 , 金剛經訂義 , 清 俞樾著
X0508 , 25 , 2 , 金剛經闡說 , 清 存吾闡說
X0509 , 25 , 2 , 金剛經解義 , 清 徐槐廷述
X0510 , 25 , 2 , 金剛經易解 , 清 謝承謨註釋
X0513 , 26 , 3 , 仁王經合疏 , 隋 智顗說　灌頂記　明 道霈合
X0514 , 26 , 1 , 仁王經疏會本 , 隋 智顗說　灌頂記　清 成蓮合
X0515 , 26 , 1 , 仁王經科疏科文 , 明 真貴述
X0516 , 26 , 1 , 仁王經科疏懸談 , 明 真貴述
X0517 , 26 , 5 , 仁王經科疏 , 明 真貴述
X0519 , 26 , 6 , 仁王經疏法衡鈔 , 唐 遇榮集
X0520 , 26 , 4 , 仁王經疏 , 宋 淨源撰集
X0521 , 26 , 1 , 般若心經疏 , 唐 慧淨作
X0522 , 26 , 1 , 般若心經疏 , 唐 靖邁撰
X0524 , 26 , 1 , 般若心經幽贊添改科 , 宋 守千添改
X0525 , 26 , 3 , 般若心經幽贊崆峒記 , 宋 守千集
X0526 , 26 , 1 , 般若心經註 , 中天竺 提婆註
X0528 , 26 , 1 , 般若心經略疏 , 唐 明曠述
X0529 , 26 , 1 , 般若心經疏 , 宋 智圓述
X0530 , 26 , 1 , 般若心經疏詒謀鈔 , 宋 智圓撰
X0531 , 26 , 3 , 般若心經略疏顯正記 , 唐 法藏疏　宋 仲希說
X0532 , 26 , 2 , 般若心經略疏小鈔 , 明 錢謙益集
X0533 , 26 , 1 , 般若心經三注 , 唐 慧忠著　宋 道楷．懷琛述
X0534 , 26 , 1 , 般若心經注 , 宋 道隆述
X0535 , 26 , 1 , 般若心經解義節要 , 明 宋濂文句
X0536 , 26 , 1 , 般若心經注解 , 明 真可撰
X0537 , 26 , 1 , 般若心經直談 , 明 真可撰
X0538 , 26 , 1 , 般若心經要論 , 明 真可說
X0539 , 26 , 1 , 般若心經說 , 明 真可說
X0540 , 26 , 1 , 般若心經釋義 , 明 謝觀光釋
X0541 , 26 , 1 , 般若心經釋疑 , 明 謝觀光釋
X0542 , 26 , 1 , 般若心經直說 , 明 德清述
X0543 , 26 , 1 , 般若心經提綱 , 明 李贄撰
X0544 , 26 , 1 , 般若心經釋略 , 明 林兆恩撰
X0545 , 26 , 1 , 般若心經概論 , 明 林兆恩撰
X0546 , 26 , 1 , 般若心經說 , 明 洪恩述
X0547 , 26 , 1 , 般若心經註解 , 明 諸萬里註
X0548 , 26 , 1 , 般若心經斲輪解 , 明 通容述
X0549 , 26 , 1 , 般若心經正眼 , 明 大文述
X0550 , 26 , 1 , 般若心經開度 , 明 弘麗著
X0551 , 26 , 1 , 般若心經發隱 , 明 正相解
X0552 , 26 , 1 , 般若心經際決 , 明 大慧釋
X0553 , 26 , 1 , 般若心經添足 , 明 弘贊述
X0554 , 26 , 1 , 般若心經貫義 , 明 弘贊述
X0555 , 26 , 1 , 般若心經釋要 , 明 智旭述
X0556 , 26 , 1 , 般若心經小談 , 明 觀衡述
X0557 , 26 , 1 , 般若心經一貫疏 , 明 益證疏
X0558 , 26 , 1 , 般若心經指掌 , 明 元賢述
X0559 , 26 , 1 , 般若心經事觀解 , 清 續法述
X0560 , 26 , 1 , 般若心經理性解 , 清 續法述
X0561 , 26 , 1 , 般若心經大意 , 清 王起隆述
X0562 , 26 , 1 , 般若心經解 , 清 徐昌治解
X0563 , 26 , 1 , 般若心經請益說 , 清 道霈說
X0564 , 26 , 1 , 般若心經註疏 , 清 仲之屏纂註
X0565 , 26 , 1 , 般若心經論 , 清 圅昰撰
X0566 , 26 , 1 , 般若心經彙纂 , 清 孫念劬纂
X0567 , 26 , 1 , 般若心經如是經義 , 清 行敏述
X0568 , 26 , 1 , 般若心經註講 , 清 行敏述
X0569 , 26 , 1 , 般若心經句解易知 , 清 王澤泩註解
X0570 , 26 , 1 , 般若心經解義 , 清 徐槐廷解義
X0571 , 26 , 1 , 般若心經註解 , 清 敬止撰
X0572 , 26 , 1 , 般若心經易解 , 清 謝承謨註釋
X0573 , 26 , 1 , 般若心經註解 , 唐 大顛祖師註解
X0574 , 26 , 1 , 般若心經註解 , 明 何道全註
X0575 , 26 , 2 , 般若心經註解 , 
X0576 , 26 , 1 , 般若心經註解 , 清 孚佑帝君註解
X0577 , 27 , 2 , 法華經疏 , 宋 竺道生撰
X0582 , 27 , 3 , 法華統略 , 胡 吉藏撰
X0583 , 27 , 1 , 法華經大意 , 唐 湛然述
X0584 , 27 , 16 , 法華三大部科文 , 唐 湛然述
X0585 , 28 , 20 , 法華經三大部讀教記 , 宋 法照撰
X0586 , 28 , 14 , 法華經三大部補注 , 宋 從義撰
X0587 , 28 , 2 , 大部妙玄格言 , 宋 善月述
X0588 , 28 , 4 , 法華經玄籤備撿 , 宋 有嚴述
X0589 , 28 , 2 , 法華經玄義節要 , 明 智旭節
X0590 , 28 , 1 , 法華經玄義輯略 , 明 傳燈錄
X0591 , 28 , 1 , 法華經釋籤緣起序指明 , 清 靈耀述
X0592 , 28 , 10 , 法華經玄籤證釋 , 清 智銓述
X0593 , 28 , 10 , 法華經文句輔正記 , 唐 道暹述
X0594 , 29 , 6 , 法華經疏義纘 , 唐 智度述
X0595 , 29 , 2 , 妙經文句私志諸品要義 , 唐 智雲述
X0596 , 29 , 14 , 妙經文句私志記 , 唐 智雲撰
X0597 , 29 , 4 , 法華經文句記箋難 , 宋 有嚴箋
X0598 , 29 , 3 , 法華經文句格言 , 宋 善月述
X0599 , 29 , 7 , 法華經文句纂要 , 清 道霈纂要
X0600 , 30 , 12 , 法華經入疏 , 宋 道威入注
X0601 , 30 , 1 , 法華經要解科 , 
X0602 , 30 , 7 , 法華經要解 , 宋 戒環解
X0603 , 30 , 7 , 法華經合論 , 宋 慧洪造　張商英撰
X0604 , 30 , 8 , 法華經句解 , 宋 聞達解
X0605 , 30 , 10 , 法華經科註 , 宋 守倫註　明 法濟參訂
X0606 , 31 , 8 , 法華經科註 , 元 徐行善科註
X0607 , 31 , 7 , 法華經科註 , 明 一如集註
X0608 , 31 , 7 , 法華經知音 , 明 如愚著
X0609 , 31 , 3 , 法華經大意 , 明 無相說
X0610 , 31 , 1 , 法華經擊節 , 明 德清述
X0611 , 31 , 7 , 法華經通義 , 明 德清述
X0612 , 31 , 2 , 法華經精解評林 , 明 焦竑纂
X0613 , 31 , 1 , 法華經意語 , 明 圓澄說　明海重訂
X0614 , 31 , 7 , 法華經大窾 , 明 通潤箋
X0615 , 32 , 1 , 法華經綸貫 , 明 智旭述
X0616 , 32 , 7 , 法華經會義 , 明 智旭述
X0617 , 32 , 7 , 法華經卓解 , 清 徐昌治著
X0618 , 32 , 1 , 法華經大成科 , 清 際慶排錄
X0619 , 32 , 9 , 法華經大成 , 清 大義集
X0620 , 32 , 1 , 法華經大成音義 , 清 淨昇集
X0621 , 32 , 1 , 法華經授手〔卷首〕 , 清 智祥集
X0622 , 32 , 1 , 法華經授手科 , 清 智祥排
X0623 , 32 , 10 , 法華經授手 , 清 智祥集
X0624 , 33 , 1 , 法華經演義科 , 清 廣和標科
X0625 , 33 , 7 , 法華經演義 , 清 一松講錄　廣和編定
X0626 , 33 , 1 , 法華經科拾懸談卷首 , 清 佛閑立科　智一拾遺
X0627 , 33 , 1 , 法華經科拾科 , 清 佛閑立科　智一重訂
X0628 , 33 , 7 , 法華經科拾 , 清 佛閑立科　智一拾遺
X0629 , 33 , 1 , 法華經指掌疏科文 , 清 通理述
X0630 , 33 , 1 , 法華經指掌疏懸示 , 清 通理述
X0631 , 33 , 7 , 法華經指掌疏 , 清 通理述
X0632 , 33 , 1 , 法華經指掌疏事義 , 清 通理述
X0633 , 33 , 1 , 法華經為為章 , 唐 窺基撰
X0636 , 34 , 4 , 法華經玄贊攝釋 , 唐 智周撰
X0637 , 34 , 2 , 法華經玄贊決擇記 , 唐 崇俊撰　法清集疏
X0638 , 34 , 31 , 法華經玄贊要集 , 唐 栖復集
X0639 , 34 , 1 , 法華經玄贊釋 , 
X0640 , 35 , 1 , 觀音經玄義記會本科 , 
X0641 , 35 , 1 , 觀音經玄義記條箇 , 
X0642 , 35 , 4 , 觀音經玄義記會本 , 隋 智顗說　宋 知禮述
X0643 , 35 , 1 , 觀音經義疏記會本科 , 
X0644 , 35 , 1 , 觀音經義疏記條箇 , 
X0645 , 35 , 4 , 觀音經義疏記會本 , 隋 智顗說　宋 知禮述
X0646 , 35 , 1 , 觀音經普門品重頌 , 宋 遵式述
X0647 , 35 , 1 , 觀音經普門品膚說 , 清 靈耀說
X0648 , 35 , 1 , 高王觀音經註釋 , 清 周上智錄出
X0649 , 35 , 1 , 普賢觀經義疏科 , 
X0650 , 35 , 2 , 普賢觀經義疏 , 宋 本如述　處咸續解　日本 亮潤分會
X0651 , 35 , 4 , 金剛三昧經注解 , 明 圓澄註
X0652 , 35 , 12 , 金剛三昧經通宗記 , 清 𧧌震述
X0656 , 36 , 2 , 涅槃經玄義文句 , 隋 灌頂撰　唐 道暹撰　日本 守篤分會
X0657 , 36 , 10 , 涅槃經治定疏科 , 宋 智圓撰
X0658 , 36 , 3 , 涅槃經會疏條箇 , 
X0659 , 36 , 36 , 涅槃經會疏 , 隋 灌頂撰　唐 湛然再治　日本 本純分會
X0660 , 37 , 12 , 涅槃經疏私記 , 唐 行滿集
X0661 , 37 , 9 , 涅槃經疏私記 , 唐 道暹述
X0662 , 37 , 19 , 涅槃經疏三德指歸 , 宋 智圓述
X0663 , 37 , 1 , 科南本涅槃經 , 元 師正排科　可度重訂
X0664 , 37 , 1 , 涅槃經會疏解 , 元 師正分科　明 圓澄會疏
X0665 , 37 , 1 , 遺教經補註 , 宋 守遂註　明 了童補註
X0666 , 37 , 1 , 遺教經解 , 明 智旭述
X0669 , 37 , 1 , 四十二章經註 , 宋 守遂註　明 了童補註
X0670 , 37 , 1 , 四十二章經解 , 明 智旭著
X0671 , 37 , 5 , 四十二章經疏鈔 , 清 續法述
X0672 , 37 , 1 , 八大人覺經略解 , 明 智旭解
X0673 , 37 , 1 , 八大人覺經疏 , 清 續法述
X0674 , 37 , 14 , 閱經十二種 , 清 淨挺著
X0675 , 37 , 3 , 佛祖三經指南 , 明 道霈述
X0676 , 38 , 2 , 梵網菩薩戒經義疏 , 隋 智顗說　唐 灌頂記
X0678 , 38 , 3 , 梵網菩薩戒經疏註 , 宋 與咸(入疏箋經加註釋疏)
X0679 , 38 , 5 , 梵網菩薩戒經義疏發隱 , 明 袾宏發隱
X0680 , 38 , 1 , 梵網菩薩戒經義疏發隱事義 , 明 袾宏述
X0681 , 38 , 1 , 梵網菩薩戒經義疏發隱問辯 , 明 袾宏述
X0682 , 38 , 2 , 梵網經記 , 唐 傳奧述
X0683 , 38 , 1 , 梵網經菩薩戒本私記 , 新羅 元曉造
X0686 , 38 , 2 , 梵網經菩薩戒本述記 , 唐 勝莊撰
X0687 , 38 , 2 , 梵網經菩薩戒本疏 , 唐 知周撰
X0690 , 38 , 1 , 梵網經菩薩戒疏 , 唐 法銑撰
X0691 , 38 , 3 , 梵網經菩薩戒注 , 宋 慧因註
X0692 , 38 , 1 , 菩薩戒疏隨見錄 , 明 今釋造
X0693 , 38 , 1 , 梵網經玄義 , 明 智旭述　道昉訂
X0694 , 38 , 7 , 梵網經合註 , 明 智旭註　道昉訂
X0695 , 38 , 8 , 梵網經菩薩戒略疏 , 明 弘贊述
X0696 , 38 , 1 , 半月誦菩薩戒儀式註 , 明 弘贊注
X0697 , 38 , 2 , 梵網經直解 , 明 寂光直解
X0698 , 38 , 1 , 梵網經直解事義 , 
X0699 , 39 , 2 , 梵網經順硃 , 清 德玉順硃
X0700 , 39 , 8 , 梵網經菩薩戒初津 , 清 書玉述
X0702 , 39 , 1 , 菩薩戒本箋要 , 明 智旭箋
X0703 , 39 , 1 , 菩薩戒羯磨文釋 , 明 智旭釋
X0704 , 39 , 3 , 地持論義記 , 隋 慧遠述
X0705 , 39 , 1 , 瓔珞本業經疏 , 新羅 元曉撰
X0706 , 39 , 1 , 十善業道經節要 , 清 蕅益編訂
X0707 , 39 , 1 , 新刪定四分僧戒本 , 唐 道宣刪定
X0708 , 39 , 2 , 毗尼珍敬錄 , 明 廣承輯錄　智旭會補
X0709 , 39 , 16 , 毗尼止持會集 , 清 讀體集
X0712 , 39 , 1 , 四分律含注戒本疏發揮記 , 宋 允堪述
X0713 , 39 , 4 , 四分律含注戒本疏科 , 宋 元照錄
X0714 , 39-40 , 5 , 四分律含注戒本疏行宗記 , 唐 道宣撰　宋 元照述　日本 即靜分會
X0715 , 40 , 1 , 釋四分戒本序 , 宋 道言述
X0716 , 40 , 1 , 四分戒本緣起事義 , 明 廣莫輯錄
X0717 , 40 , 12 , 四分戒本如釋 , 明 弘贊繹
X0718 , 40 , 4 , 四分戒本約義 , 明 元賢述
X0719 , 40 , 17 , 重治毗尼事義集要 , 明 智旭輯繹
X0720 , 40 , 16 , 毗尼關要 , 清 德基輯
X0721 , 40 , 1 , 毗尼關要事義 , 清 德基輯
X0722 , 40 , 1 , 四分刪定比丘尼戒本 , 宋 元照重定
X0723 , 40 , 1 , 四分比丘尼鈔科 , 宋 允堪述
X0724 , 40 , 3 , 四分比丘尼鈔 , 唐 道宣述
X0725 , 40 , 1 , 式叉摩那尼戒本 , 明 弘贊輯
X0726 , 40 , 8 , 四分律隨機羯磨疏正源記 , 宋 允堪述
X0727 , 41 , 4 , 四分律刪補隨機羯磨疏科 , 宋 元照錄
X0728 , 41 , 4 , 四分律刪補隨機羯磨疏濟緣記 , 唐 道宣疏　宋 元照述　日本 禪能合會
X0729 , 41 , 1 , 羯磨經序解 , 宋 則安述
X0730 , 41 , 15 , 毗尼作持續釋 , 唐 道宣撰集　清 讀體續釋
X0731 , 41 , 10 , 四分律疏 , 唐 法礪撰述
X0732 , 41 , 3 , 四分律搜玄錄 , 唐 志鴻撰述
X0733 , 42 , 8 , 四分律疏飾宗義記 , 唐 定賓作
X0734 , 42 , 1 , 四分律疏 , 唐 智首撰
X0735 , 42 , 10 , 四分律開宗記 , 唐 懷素撰
X0736 , 42 , 14 , 四分律行事鈔批 , 唐 大覺撰
X0737 , 43 , 17 , 四分律行事鈔簡正記 , 後唐 景霄纂
X0738 , 43 , 3 , 四分律行事鈔科 , 宋 元照錄
X0740 , 44 , 1 , 資持記序解并五例講義 , 宋 則安述
X0741 , 44 , 1 , 行事鈔諸家記標目 , 宋 慧顯集　日本 戒月改錄
X0742 , 44 , 1 , 資持記立題拾義 , 宋 道標出
X0743 , 44 , 3 , 毗尼討要 , 唐 玄惲纂
X0744 , 44 , 40 , 四分律名義標釋 , 明 弘贊輯
X0745 , 44 , 1 , 四分律藏大小持戒犍度略釋 , 明 智旭釋
X0746 , 44 , 1 , 四分律拾毗尼義鈔科 , 宋 元照錄
X0747 , 44 , 2 , 四分律拾毗尼義鈔 , 唐 道宣撰
X0748 , 44 , 6 , 四分律拾毗尼義鈔輔要記 , 宋 允堪述
X0749 , 44 , 1 , 佛說齋經科註 , 明 智旭科註
X0750 , 44 , 2 , 佛說目連五百問經略解 , 明 性祇述
X0751 , 44 , 2 , 佛說目連五百問戒律中輕重事經釋 , 明 永海述
X0753 , 45 , 4 , 十地經論義記 , 隋 慧遠撰
X0754 , 45 , 1 , 起信論一心二門大意 , 陳 智愷作
X0755 , 45 , 1 , 起信論義疏 , 隋 曇延撰
X0757 , 45 , 6 , 起信論疏記 , 新羅 元曉疏並別記
X0759 , 45 , 2 , 起信論同異集 , 唐 見登集
X0762 , 45 , 2 , 起信論纂註 , 明 真界纂註
X0763 , 45 , 2 , 起信論捷要 , 明 正遠註
X0764 , 45 , 2 , 起信論續疏 , 明 通潤述疏
X0765 , 45 , 2 , 大乘起信論疏略 , 唐 法藏造疏　明 德清纂略
X0766 , 45 , 2 , 起信論直解 , 明 德清述
X0767 , 45 , 1 , 起信論疏記會閱卷首 , 
X0768 , 45 , 10 , 起信論疏記會閱 , 清 續法會編
X0770 , 45 , 1 , 釋摩訶衍論記 , 唐 聖法鈔
X0771 , 45 , 2 , 釋摩訶衍論疏 , 唐 法敏集
X0772 , 45 , 5 , 釋摩訶衍論贊玄疏 , 宋 法悟撰
